Original(Korean),Basic Translation(google trans),comp1 score,comp2 score,comp3 score
말 좀 가려서 해라. 추하다.... 너 엄마 없는 건 사실이잖아,make some concealing Ugly Its truthful that you dont get a female parent,0.620766,0.631466,0.768948
이것들이 선생님들까지 벌벌 기니까 뵈는 게 없지?!,Since these exist punish still by the teacher there is naught to fall behind,0.672272,0.709810,0.729453
그거야 능력이지... ,Thats the ability,0.644769,0.749357,0.696296
아니지 편법이지,No its a cutoff,0.562434,0.636719,0.751402
너랑 상대하는 시간이 아깝다. 선생님한테 그대로 얘기해 줄까?,Its a dissipation of sentence lot with you Would you like to tattle to the teacher,0.643379,0.647175,0.787470
육성회장님 한테 얘기하는 게 아니구?,Youre not peach to Chief Executive Stephen Foster Song dynasty,0.608223,0.668612,0.775781
억울하면 넌 강현한테 일러. ,If it embody unjust you will evidence Kang Hyun,0.584348,0.685297,0.717714
너 되게 유치하구나.,You exist thusly childish,0.594901,0.703327,0.740856
"야야 주번, 일루 와~ 이거 장난감 핸드폰 아니야? 다시 가져와 임마",Hey lord add up on Isnt this a plaything sound Bring it back clotheshorse,0.545374,0.589010,0.770553
아 새끼 거 냄새난다. 임마~ 얼마나 마신거야?,Oh it smell out like a infant How long take in you been pledge,0.599475,0.653577,0.730322
김세임  땜에 죽도록 마셨어요. 중간에 도망가면 어떡해요.,I decease because of Kim Seim What to practice if you play aside,0.554744,0.608869,0.807249
시험문제 검수하느라고 전날 날 꼬박 샜어 너무 피곤하더라고.,I comprise thus tired that I awake up the daylight before see the exam interrogation,0.633085,0.625762,0.721107
선배는 시험을 무슨 예술로 보는 경향이 있어. 대충 퍼다 가 내면 되지.,senior be given to meet the examination as an artistic production You scarce take to disseminate it out,0.628610,0.708726,0.770112
야 임마 내신 하나에 애들 미래가 달라져... 변별력 있게 내야지 너처럼 대충 하면 되겠어? ,Hey laugh at the hereafter of the kids exist unlike for one I take to be distinguish,0.574225,0.661718,0.793003
선배가 고민해서 안해도 우리학교 애들 다 지들이 알아서 열심히 해.,still if my seniors dont vex about it all the child in our school have forethought of it,0.618475,0.626294,0.717884
네 안녕 하세요 선생님,Yes howdy instructor,0.501644,0.665398,0.816561
왜 이렇게 안색이 안 좋으세요.,Why exist you then uncomfortable,0.675988,0.674192,0.731945
그런가요?,is that indeed,0.666083,0.714684,0.684359
저 샘은 웃는 걸 본 적이 없어 ,That Sam ne'er learn me smile,0.525409,0.646246,0.803281
어때 이쁘잖아,Hows it middling,0.579495,0.677762,0.747220
아니 학교에 아직도 담 넘어 다니는 학생이 있다니 이게 말이 되요? ,No set this produce common sense that there exist yet students in the school day yet walking over the walls,0.546283,0.629271,0.797310
너 지금 뭐하는 거니? ,What make up you practice today,0.632380,0.708696,0.738829
.............,,1.000000,1.000000,1.000000
다시 풀어. 장난하지 말고...,exit again Dont constitute banter,0.612828,0.694724,0.814068
왜 그래? 무슨 일 있어?,What is it Whats get on,0.841542,0.841542,0.756224
시험지가 이상해요...,The test newspaper publisher cost weird,0.472307,0.645182,0.828279
너무 긴장해서 그래 .. 천천히 풀어... 자~ 일어나,Im thus neural Slowly liberation it,0.585532,0.717307,0.792052
망했어 난 망했어....,Im jazz Im jazz,0.443244,0.688454,0.788176
오. 마이갓 정말이야? 답이 이거야?? ,Five Really The solution exist this,0.605671,0.605671,0.698921
"시험도 끝나고, 날씨도 예술이고... 일찍 끝났는데 뭐 재밌는 거 없나?",The test is over the conditions is art I end upwardly early is there anything interesting,0.648998,0.653100,0.740679
이거나 널어. ,Or its up,0.554084,0.592554,0.642905
너 양이 많은 걸 보니까 스트레스 너무 많이 받은 거 아니야?,date that you get a peck didnt you get besides much accent,0.659072,0.705563,0.789449
정말 오늘은 최악이다. 꿈땜에 그런가?,It rattling exist the regretful today constitute it because of your dreaming,0.494551,0.639138,0.852893
무슨 꿈? ,What dream,0.622729,0.674792,0.807001
얘기했잖아. 이상한 꿈 꿨 다구... 하~ 시험 잘 봤어?,I tell you I take a unusual dream Ha Did you perform intimately on the examination,0.431364,0.600004,0.786907
응 느낌이 좋아 꿈땜에 그런가?,Yes I sense good follow it because of my dreaming,0.539726,0.685334,0.784375
무슨 꿈?,What dream,0.622729,0.674792,0.807001
원빈오빠랑 자는 꿈... ,Wonbins dreaming of slumber,0.781920,0.714666,0.808999
빈 오빠가 미쳤냐? 너하고 자게?,be your empty sidekick crazy nap with you,0.580058,0.638787,0.770047
꿈인데 뭐...,Its a ambition,0.464514,0.490875,0.674510
"안 돼, 꿈도 허락 할 수 없어. ",No I cant still allow aspiration,0.527975,0.571829,0.766223
막~  해주는데 정말 하는 거 같더라니까,Im hardly set it but it look like Im rattling get along it,0.620659,0.667602,0.768945
아~ 안돼 미친년.... 일루와 ,Ah No crazy little girl Illuwa,0.750683,0.750683,0.794987
으구 기집 애 이제 좀 웃네..,Ugh little young lady today laugh a little,0.580838,0.689119,0.825727
여기가 여자 기숙사 옥상이구나?,exist this the rooftop of a female residence hall,0.511935,0.633896,0.741621
어머~ 현아 ,Oh Hyuna,0.680863,0.499568,0.790957
너 여기 어떻게 왔냐? ,How exist you here,0.581113,0.658728,0.774506
이 오빠가 못 가는 데가 어딨겠냐.  ,Where can this sidekick not decease,0.576340,0.671198,0.776352
사감 선생님 오기 전에 가라,conk out before the sensational teacher follow,0.598444,0.724302,0.732328
200일주 한잔 해야지. 스트레스도 풀고...,I ask a potable for 200 calendar week Relieve emphasis,0.629054,0.645472,0.724922
어 진짜 200일 밖에 안 남았구나..,Uh there exist but 200 Clarence Day go away,0.595069,0.591475,0.765455
뭘 또 맞장구 치고 있어...,What else make up you wager against,0.615112,0.600356,0.768778
중간고사도 끝났는데 클럽 놀러 와라 파티 한다.,The midterm test is over but we follow to the nine to party,0.552349,0.576596,0.778833
너나 파티 하세요. 학교를 왜 다니는지 도무지 알 수 없는 정신없는 놈아. ,take a party with you I tilt image out why I get to schoolhouse,0.517266,0.621909,0.838057
꼭 와야 돼. 니들 안 오면 내가 납치하는 수가 있다. 내가 맘먹으면 할 수 있다는 거 알지?,Must follow If you dont hail I can abduct you You fuck I can make it if I like it,0.447167,0.609523,0.824609
그래봐 그랬다간 죽는 수가 있다.,Yes and then you can die,0.475423,0.676583,0.863455
제발 납치해 줬으면 좋겠다.,I trust you abduct me,0.453736,0.592377,0.846551
지랄을 해요.. 아주~,Im bang real,0.378133,0.493456,0.827953
아 왜~ 멋있잖아. ,Oh why Its aplomb,0.663564,0.633684,0.771770
아 뭐야 진짜 이런 거 공개 안하면 안 돼? 이런 거 공개하는 학교가 어딨어 짜증나 ,Oh what can we genuinely dress Why represent it devil to get a school that eject this,0.590379,0.647867,0.780855
아 시발 ~ 한 등급 또 떨어 졌어.,Ah sleep with one class accrue again,0.579904,0.612799,0.712527
이나야? 괜찮아?,Ina Sooner State,0.676232,0.566285,0.745586
어? 어.... 내가 뭐 천재냐? 매번 장학금 타게.,uh Uh what exist I a genius Get a scholarship every clock time,0.621231,0.604965,0.767391
그래도....,even so,0.797850,0.797850,0.686387
걱정 하지마. 윤명효! 4등 등극을 축하한다! 딸기우유나 한잔 쏴라,doh not care about it Yoon Myeonghyo congratulation on your fourth station pick out a crank of strawberry milk,0.548414,0.586213,0.772180
쥐포도 쏠게 ,Ill shoot down the grapes,0.487396,0.573721,0.759191
좋지,good,0.461880,0.666667,0.678179
3학년 1등 또 황선생 반이네 대단해. 어떻게 황선생은 어떤 애들을 붙여놔도 1등이네.,Hwang Senseis year personify besides great No thing how many kid you bind Hwang is the first stead,0.619452,0.705183,0.786500
애들이 열심히 해서 그런거죠 뭐,Its because the kids knead hard,0.566740,0.727012,0.795287
최선생... 분발 해야겠어 . 3등으로 떨어졌어요.,substantially bookman I ingest to adjudicate It vanish to third stead,0.668449,0.690060,0.779213
죽일 거야 죽일 거야 다 !,I will kill you I will kill you all,0.749672,0.749672,0.781689
야! 조범! 조용히 안 해! ,Hey Jo crumb Dont cost quiet,0.461227,0.623592,0.755019
뭐야 저 병신새끼. 시험 기간만 되면 아주 생 지랄을 해요.,What cost that shit After the visitation stop Im rattling sick,0.614678,0.702219,0.796617
작년부터 애가 좀 이상해 왜 저래?,The kid accept follow a scrap weird since last class,0.606041,0.676822,0.767308
다친데 없어?,Are you spite,0.445028,0.589308,0.723545
어 ~ 괜찮아...,Uh its okay,0.502727,0.618012,0.791930
10분 뒤에 아침조회가 있을 예정이오니 학생들은 모두 운동장으로 나와 주시기 바랍니다.,There will exist a good morning interrogation in 10 instant then all scholar represent requested to do to the playground,0.620128,0.619342,0.764812
조용! 조용! 선생님들께서는 속히 아이들을 정렬해주시기 바랍니다.,quiet quiet instructor exist await to class the children as presently as potential,0.699276,0.684526,0.735121
노래 어때 ? ,How about tattle,0.498186,0.645664,0.826409
너 미친 거 아니냐?,Are you crazy,0.404750,0.599230,0.774495
학교가 이런 맛도 있어야지 ...,School should take in this taste sensation,0.637404,0.692717,0.742979
너 나한테 잘 보여라 여차하면 신고해 버린다.,If you nevertheless point me intimately describe it,0.632371,0.559037,0.753890
강현! ,Ganghyun,0.850210,0.850210,0.862516
니들은 들어가  또 너지? ,You get in and you again,0.707514,0.755680,0.753542
"선생님께서는 왜 증거도 없이, 사람부터 때리세요? ",Why act you murder citizenry first without evidence,0.578178,0.651764,0.798567
증거?  너 증거라고 그랬냐? 이 자식이.... ,evidence Did you tell its substantiation This kid,0.655781,0.740731,0.761120
"이 선생, 흥분하지 말고, 그만 해요. 내가 알아듣게 얘기할게...",instructor dont get stimulate stop ailment assure you to see,0.549952,0.600397,0.794199
넌 내가 담임이었으면 오늘 가만 안 놔둬...,If you exist my home room dont lead today,0.509660,0.550004,0.809517
알았어요. 내가 교육 시킬께요. ,I consider I will train you,0.495363,0.694316,0.823226
"선생님, 긴급 교무회의 한다고 교무실로 바로 오시래요...",Teacher I need to come in to the teachers bureau for an emergency academy coming together,0.490283,0.647498,0.753339
아 또 잔소리 꽤나 듣겠구만....,Oh Im get going to listen some nagging again,0.709661,0.642886,0.767178
선배 어떻게 할 꺼야... 지금 교장실 난리 났어요. ,What exist you proceed to get along The lead agency exist in difficulty,0.625692,0.710740,0.794150
왜 틀린 거 하나도 없 더 구만 노래도 좋구...,Why isnt there anything incorrect and the call is good,0.624416,0.630582,0.745516
반만 1등하면 뭐해요. 학교 이미지 다 망쳐 놓는데... ,What make out you act if you be first in social class It smash all the school day range,0.621482,0.646983,0.747478
무슨 말을 그렇게 해요...,What make you allege,0.451085,0.735224,0.835587
1학년 때 수학여행 가서 ,I exit on a schooling slip in the first grad,0.606184,0.663600,0.749426
야 매로 다스릴 애였으면 벌써 그렇게 했어. 강현이 나쁜 애 아니야... 애를 이해하고 다스려야지 ,If you exist the one to decree with hawks you already manage Kanghyun exist not a bad male child I get to empathize and regulate him,0.606212,0.669439,0.767278
하긴 뭐 애들 인기에 워낙 신경 쓰시니... ,But what perform you deal about kid popularity,0.642323,0.642323,0.743621
내가 아이돌 인가? 결혼을 안 해서 애들 맘을 잘 모르시죠? ,Am I an idol Youre not wed then you dont bonk the minor creative thinker,0.654953,0.654953,0.748582
왜 그래요 들 ... 열 받는 건 난데 왜 둘이 싸우고 난리야 ,Why constitute you guys Im take fevered,0.544254,0.611611,0.863676
앉아요. 금쪽같은 수업 빼서 회의 하는 거니까 간단히 전달 사항만 얘기하겠습니다.,sit around down please Since exist possess a get together without a category like this complaint exactly tattle about the detail,0.624771,0.672872,0.767959
네 ,Yeah,1.000000,1.000000,0.843826
아이들 발음문제 특별히 신경 쓰시기 바랍니다. 이번에 기대하겠습니다.,Please make up special aid to childrens pronunciation trouble We calculate ahead to this,0.639749,0.657072,0.740249
네 ...,Yeah,1.000000,1.000000,0.843826
기획서 누가 작성 했습니까?,Who spell the marriage offer,0.477521,0.625927,0.806389
네 제가 했습니다. ,Yes I set,0.418930,0.720872,0.822002
음  여기 나온 대로 진행 할 테니까 선생님이 전체 통솔을 맡아 주고.. ,considerably Im get to continue as establish here then the teacher will lease attention of the whole affair,0.600833,0.644723,0.793608
네 ... 반 학생 중에 영어를 좀 하는 녀석이 있어서 도움을 좀 청하려고 합니다. ,Yes Some of my classmate address side indeed Im extend to demand for some avail,0.641548,0.650007,0.769041
그건 알아서 하세요. 하~ 오늘 아침조회는 도대체 뭡니까? 긴말 않겠어요.,act it yourself Ha Whats the dawn question I wont enjoin a long Son,0.532014,0.645346,0.804621
시말서 준비하셔야 겠네요 ...,You should be get up,0.398171,0.655762,0.853592
이번 주말까지 성적 떨어진 사람 연습장 3권씩 채워... ,filling in 3 practice Good Book for those who consume suffer degree until this weekend,0.576659,0.612340,0.760211
니들 커서 나같이 선생이나 할래? 이 학교 나와서 연 고대 밑으로 갈 꺼야?,Would you like to exist a instructor like me when you get up Are you depart to get out of this schooltime and conk down to ancient clip,0.506743,0.630960,0.815161
선생님 저희 학원도 가야돼는데...,Teacher Our schooling as well get to get,0.552082,0.597361,0.794238
신곡발표가 너무 요란했던 거 아니야? ,Wasnt the new call declaration excessively loud,0.595156,0.654428,0.718463
죄송합니다. 선생님. ,Sorry instructor,0.363357,0.637156,0.810138
선생님이 이번엔 커버해 준다. 노래가 좋아서 봐주는 거야... ,The teacher extend this clip I like the vocal because I like it,0.559954,0.679451,0.773502
선생님! 놀톤데... ,instructor Im surprise,0.696595,0.696595,0.674726
그러니까 벌이지 임마 .... ,indeed dude dude,0.556518,0.709712,0.837122
뭘 해야 하는지 는 알고.... ,I bang what to answer,0.501444,0.597018,0.811623
나와 보면 알아. 그럼 그렇게 결정 난거다. ,tone at me and get laid Then it exist decided,0.715554,0.751289,0.775767
차라리 화장실 청소할게요. 선생님! 저 주말에 공연해야 돼는 데...,Id preferably clean the can instructor I involve to execute that weekend,0.569404,0.665191,0.791556
아~ 내일 주말인데 다른 애들 다 집에 가고 이게 뭐야,Ah Tomorrow be the weekend all the other nipper give way dwelling house and what is this,0.538234,0.598070,0.765564
야 영광으로 생각해. 그래도 학교 대표로 나가는 건데.. 나는 방도 우리만 쓰니까 좋구만...,Hey Im observe Im even so exit to exist the school instance,0.453715,0.631193,0.843918
스무 명이 참가한다고 했나?  이나야 오늘 클럽 가자. 사감장도 없는데,Did twenty people allege they would enter Inaya Lets endure to the nightclub today I dont cause a executive program,0.581652,0.619856,0.806099
기숙사 탈출하자고? ... 너 왜 갑자기 안하던 짓을 하고 그래,You desire to get out the dorm why practice you cause something you didnt abruptly set,0.509762,0.591356,0.774852
내가 점점 널 닮아 가나봐 히~,Im commence more than and more like you,0.560058,0.521652,0.757442
허~ 참. ,Huh True,0.733989,0.733989,0.807523
이나야 ...,Inaya,0.760372,0.760372,0.893358
그 한심한 놈이 그렇게 좋니?,exist that pathetic guy cable thence good,0.623155,0.709995,0.736712
응~,Yes,0.734847,0.900000,0.715132
그럼 좋다고 해~! ,and so pronounce good,0.628561,0.669849,0.724577
못 하겠어. ,I slant,0.413603,0.589141,0.772291
내가 대신 말해줘?,Can I say you rather,0.461736,0.691071,0.785269
싫어. 안 돼.... ,Hate nobelium,0.657785,0.685498,0.737872
너 혼자가! ,You belong only,0.545324,0.580739,0.748492
"야 이나야, 너는 걔랑 친하잖아 나 혼자는 못 가겠단 말이야.",Hey ina youre ending to her I slant get only,0.500312,0.647801,0.850979
몰라 기집애야 너 혼자가! ,I dont know lady friend you get only,0.522655,0.626041,0.797760
거기 누구요?,Who is there,0.388129,0.552260,0.720768
허허허헉.....,Huh huh huh,0.701027,0.680142,0.711466
뭐하는 거야? 거기서,What be you get along at there,0.718000,0.664151,0.761557
뭘 보고 이러는 거야 지금... 어이 학생 왜 그래~,What follow you come hither,0.314157,0.541634,0.880128
대학생 맞아요? 이거 학생증 위조 한 거 아니죠?,Are you a college bookman Isnt this a fake scholar ID,0.568197,0.603639,0.785747
저희가 고등학생으로 보여요? ,get along we calculate like high-pitched school day students,0.580149,0.611125,0.806682
와줘서 고맙다.,Thank you for amount,0.532607,0.532607,0.731115
나한테 고마울 거 없어. 명효가 오자고 해서 온 거야. 그래도 뭐 생각보다 재밌네. ,there goose egg to give thanks me for It follow because Myeonghyo take to get along Its more than sport than I guess,0.580025,0.636036,0.751296
뭔데? ,What,0.361824,0.778105,0.692295
너 같은 꼴통이 어떻게 우리 학교를 왔냐? 중학교 때 공부 좀 했냐?,How set a school like you hail to our school Did you canvass in middle school,0.538108,0.627860,0.803161
비밀인데 너니까 얘기해줄게.... 학교에 버스 3대 사주고 입학했어.,Its a secret thus ailment separate you I purchase three coach and exit to school day,0.654300,0.652280,0.757800
아~ 그래? 버스 3대면 우리학교 들어올 수 있구나... ,Ah Three bus can insert our school,0.479676,0.672710,0.859482
겁 대가리 없는 건 학교지... 너 우리학교 비리가 얼마나 많은 줄 알어? ,Its school day without concern How many get along you make love about our school day degeneracy,0.610968,0.625820,0.730949
너 또 다음에는 무슨 짓을 하려구,What equal you exit to make next meter,0.639513,0.639513,0.746284
학교가 한번 발칵 뒤집어질만한 좋은 계획이 있지... ,I make a good design for the schoolhouse to tack over erstwhile,0.471127,0.564283,0.797377
너도 참 한심한 청춘이다. 그래 학교 다니는 또 하나의 이유가 뭐냐?,You are besides a pathetic early days So what make up another intellect for hold out to schooltime,0.546124,0.586724,0.747298
또 하나는 ....... 너. ,Another one you,0.502466,0.535167,0.708220
새끼 어디서 수작 피우기는.... ,Where set you smoke,0.505099,0.523130,0.812324
수작이라니.... 나도 궁금한 게 있어,Its a chef-d'oeuvre I deliver a question excessively,0.530329,0.646544,0.750492
뭐,What,0.511696,0.511696,0.800700
왜 이렇게 장학금에 민감해?,Why exist you indeed sensitive to scholarships,0.540561,0.642700,0.795817
너같이 있는 놈들 한 테는 별거 아니지만 난 달라 더 이상은 묻지마. ,Its no big trade for cat like you but Im different dont need any more,0.572859,0.663612,0.802749
눈 풀어라. 느끼하다.,turn your optic greasy,0.613146,0.646632,0.781412
야 근데 좃 밥이 뭐냐?,Hey whats her Elmer Rice,0.524693,0.559289,0.788593
어? 그런 게 있어 ,uh There exist something like that,0.524620,0.779051,0.787187
나중에 알려줘라 ... 야 이명효 가자,lease me know later on hey net ball conk,0.586830,0.639753,0.796641
야 오늘은 특별수업인데 꼭 걷어야 되냐? ,Hey today is a special course should I walk,0.556507,0.681858,0.788451
악마의 입 냄새 가 걷으랬어. ,The Devil talk enjoin me to walk,0.638180,0.638180,0.732402
마저 걷어서 복도 사물함에 놓고 와 ...,still walk and invest it in the storage locker in the hall,0.517028,0.573146,0.781253
혜영 이는 아직 안 왔구요. 동혁이는 똥 싸러 갔어요.,Hyeyoung hasnt get as yet Donghyuk extend to agitate shit,0.647897,0.707756,0.769188
웃음...,laughter,0.471937,0.666810,0.670869
혜영이가 그럴 애가 아닌데... 무슨 일 있나? 이나야 너 기숙사 좀 갔다와봐,Hyeyoung is not a kid Whats proceed on I intend you get to the dorm,0.624803,0.668674,0.824665
네? 네~,Yeah Yes,0.831182,0.943431,0.691202
"조범, 너 언제부터 이랬니?",Jo tail end when did you set this,0.687509,0.688185,0.754769
시험 때만 되면 이상 한 게 보여요,I can interpret something unusual at the meter of the exam,0.517091,0.589882,0.774661
뭐가 보이는데?,What arrange you meet,0.523101,0.532032,0.709434
여자요...무섭게 생긴...,cleaning woman expect scary,0.626270,0.695734,0.757617
근데 팔은 왜 이렇게 만들어 놨어,But why practice you take your subdivision like this,0.566936,0.681665,0.744731
내가 그러는 게 아니 예요. 걔가 그러는 거지,Im not like that Thats what he get along,0.627404,0.747938,0.790517
그래 가서 앉아 ,Yeah conk sit,0.641995,0.693203,0.744902
조금 있다가 최소영 선생님 들어오셔서 VTR수업 할 꺼니까 그동안 자습하고 있어...,After a spell Mr Choi Choi will descend in and claim a VTR year and then Ive constitute study,0.629451,0.657789,0.758241
아 진짜 나는 왜 남아야 하냐고. 아무런 관련도 없는데...,Oh rattling why should I quell It make goose egg to set with,0.517959,0.601642,0.814194
넌 임마 군기반장 이잖아. ,Youre the top dog of the USA,0.578966,0.605624,0.754076
괜히 선배가 기획서 도와 달라고 그래서 나까지 남은 거 아냐,It wasnt until the senior need me to aid with the proposition,0.517330,0.651180,0.798151
"짜식, 선생이 되가지고 학교 좀 오는 게 어때서 그래.... 참, 최선생님.",Jasik its like follow a instructor and get to school day a short second,0.597867,0.707646,0.815631
조범이 말예요 혹시 부모님 만나 보셨어요?,Jo posterior hold you met your parent,0.502287,0.556080,0.805871
별 걸 다 신경 쓰시네요.. ,You like about everything,0.503335,0.641482,0.785108
전 좀 신경이 쓰이네요.,Im a slight worried,0.372584,0.625784,0.847272
그렇잖아도 전화 했는데 이번 초청수업에는 꼭 참가를 해야 한다면서 ,yet indeed I send for and state I must participate in this invitation grade,0.626457,0.654646,0.812115
심각해 보이던데 ,It bet serious,0.603596,0.649088,0.745857
"뭐, 다 지 팔자지. 부모가 안 된다는데 어떻게 해. 아휴~ 애들 공부를 적당히 시켜야지",wellspring allow trade it all What make you make when youre not a parent Ah I bear to learn the kid decently,0.645131,0.636881,0.786913
임마 너는 청결먼저 어떻게 좀 해봐,How set you get along it foremost,0.544796,0.722316,0.842223
아 나 정말 나 이빨 닦았어..,Ah I genuinely brushed my dentition,0.595306,0.677425,0.754191
수업준비물 챙기러 왔다가 깜짝 놀랐네.,I constitute storm when I hail to compact my social class,0.563290,0.556573,0.764022
저는 선생님 신음소리 때문에 놀랐는데 히히.,I exist storm by the instructor moaning but hehe,0.670867,0.672115,0.816240
일단 수업 들어가자 나도 가던 참 이었어.,erstwhile in year I cost choke excessively,0.561957,0.646790,0.783899
혜영이랑 동혁이 아직도 안 왔어?,Hyeyoung and Donghyuk even so havent hail,0.678509,0.678509,0.723874
동혁 이는 아무래도 느끼고 있나본데 ? .. ,Donghyuk exist this how you experience,0.600707,0.645746,0.738323
조용!. 첫 시간은 VTR 레슨을 할 껀데,quiet The first sentence is for a VTR lesson,0.714223,0.698355,0.712663
악~!!!!!!!!!!!!,immorality,0.200465,0.644331,0.839040
어 넌 왜왔어 임마,Uh why be you here dude,0.525974,0.513048,0.790512
담임선생님이 오라고 그래서요.,Thats why the home room teacher need me to descend,0.558490,0.581936,0.751713
어 현이 왔구나. ,Oh Hyun be hither,0.593867,0.605568,0.726614
예 선생님 전 뭐해야 되요?,Yes teacher What should I execute,0.660733,0.607700,0.751198
너 중학교 때까지 영국에서 살았다며,That you exist in England until middle school day,0.642500,0.642500,0.754187
네,Yeah,1.000000,1.000000,0.843826
저기 서류들이 다 원문 서류들인데 니가 분리 좀 해줘라,All of the written document there are original text file but please separate them,0.575478,0.648113,0.738855
임마 부모님한테 잘 해 너 같은 꼴통 그래도 가르치겠다고 유학까지 같다왔으면...,Im hence good to my parents Id like to consider afield to teach you the like fashion,0.549530,0.602403,0.813367
이선생... ,instructor,0.735055,0.746677,0.766384
쟨 왜 저기 있대 ?,Why be you there,0.476163,0.564833,0.787406
어 저기가 어디야?,Where exist that,0.597293,0.597293,0.686301
아,Ah,1.000000,1.000000,1.000000
조용! 너희들 제자리에 앉아. ,quiet You jest at sit in station,0.716316,0.668815,0.773125
누구야! 어떤 녀석이 또 장난질이야? ,Who embody it Which cat is kid again,0.654940,0.669180,0.785988
저거 혜영이 아니야? 이 선생 방송실로 가봐.,Isnt that Hyeyoung fling to this teachers propagate elbow room,0.678304,0.685546,0.736309
네 선배,Four seniors,0.552225,0.756727,0.712041
일단 애들 동요하면 안 되니까 상황보고 안 되겠으면 전원을 다 꺼버려 ....,erstwhile you tilt sway the nestling flex off the magnate if you cant get wind the site,0.625630,0.643979,0.766707
이걸 어떻게 하는 거야? 무슨 선이... 이렇게 많아? ,How get along you make this What descent indeed many,0.713656,0.752186,0.800379
시팔 이거 뭐야. 왜 안 꺼져... ,What is this Why doesnt it change state off,0.522000,0.649476,0.758437
이 자식을 그냥~!,exactly this kid,0.794215,0.794215,0.767830
그 애가 오고 있어... 아~ 그 애가 그 애가 왔어,Shes occur Ah Shes hither,0.509854,0.566370,0.840311
아 저 새끼는 또 왜 지랄이야 재수 없게... ,Oh why is that motherfucker again,0.585604,0.623932,0.796530
이나야 무서워,Im pit,0.410781,0.616809,0.824446
괜찮아 ,Sooner State,0.643098,0.643098,0.745140
너네 사귀냐? ,Are you see,0.386317,0.539660,0.830093
쥐 새끼같은 놈 ,scum bag,0.431228,0.578681,0.768052
선생님 핸드폰 되세요?,act you get a jail cell telephone set,0.732289,0.730826,0.715343
전원이 안 켜지는데요?,The magnate set not flex on,0.698709,0.698709,0.689476
너지 너 말고는 이런 천재적인 짓을 할 새끼가 없어.,Theres no rookie to set this genius other than you,0.588938,0.658101,0.822742
