Original(Korean),Basic Translation(google trans),comp1 score,comp2 score,comp3 score
하이구야 끽해야 여관 몇 개 가진 놈이.. ,A cat with a few inn,0.425466,0.623615,0.879562
오늘은 우리 조카도 칠거야. ,Today we be hold up to encounter our niece,0.570904,0.630615,0.770326
어 나도 오늘 우리 조카 데려왔는데. 조카!,Uh I lend my nephew today nephew,0.529943,0.652509,0.820802
어 좋다. 빨리들 벗고 앉읍시다. 빨리 빨리. ,Uh good Lets need off and posture down quickly quickly,0.678632,0.703054,0.745763
빨리.. 자 돈들 꺼내시고.. 1억씩이죠.. 패 돌아갑니다. 개평 없고 속이기 없고 상한선 없고. 아싸 첫 패 좋고.. 뒷장아 붙어라 붙어라~ 붙었다! ,Quickly call for out the money 100 million exit back No critique no illusion no upper limitation Ah the first mitt be good,0.562220,0.650427,0.830549
5천. ,5000,0.000000,0.000000,0.000000
첫판부터? 삼촌 오늘 저 말리지 마세요. 5천 받아. ,From the first version Uncle Dont dry out me today rent 5000,0.618393,0.613074,0.761066
합이 1억. ,The heart cost 100 million,0.431584,0.691576,0.853112
아니 아니 말리지마세요. 1억 받아. ,No no dont dry look at 100 million,0.587958,0.614508,0.762904
다섯끗밖에 안돼? ,only if five,0.474813,0.704833,0.792870
.. 음...  ,considerably,0.288415,0.714264,0.908111
오늘은 운이 안좋으셔서. ,Im not hence lucky today,0.624186,0.702995,0.755886
간만 본건데.. 저 인간..  타짭니다. ,Ive only meet the liver that human tan,0.578800,0.598475,0.756773
크크크 타짜를 데리고 와도 나한텐 안돼. 내일은 화투패 하나 만들어오세요. ,I cant act it to me still if I take a kirk tajja Please piddle a battle for tomorrow,0.614868,0.633265,0.771422
어떻게?,how,0.262999,0.448712,0.711514
이렇게 1.3.5.7.9 순서로. ,In this social club 13579,0.513596,0.752576,0.812985
1.3.5.7.9.. ,13579,0.000000,0.000000,0.000000
"내일 막판에 저놈이 5땡을 잡고 내가 7땡을 잡을 겁니다. 내가 신호주면, 슬쩍 술을 흘리시고, 그때 준비해둔 탄으로 싹~ 바꿔서 수채구멍에 숨기면.. ",At the close of the day that cat will capture 5 Elvis and I will get 7 Zen If I afford a signaling I decant a beverage and then flex it into a prepared bullet and conceal it in the sink mess,0.650280,0.642140,0.765351
1억 밀어넣고.,Push 100 million,0.587863,0.750799,0.720551
막판 하지 뭐. 올인. ,Last moment Allin,0.499257,0.573818,0.786989
올인 콜. ,Allin cry,0.823935,0.823935,0.860723
7땡! ,7 ding,0.565685,0.900000,0.811416
9땡! ,9 ding,0.440377,0.735592,0.911655
컥.,,0.000000,0.000000,0.000000
운좋은 과부 앉아도 오강꼭지고 넘어져도 가지밭이라더니 운 좋네. 막판에 9가 뜨고. ,yet if I pose down with a lucky widow I embody fortunate to say that it cost an eggplant arena 9 make up on the last instant,0.538423,0.590628,0.778642
내일 한판 더 해. ,set another turn tomorrow,0.544861,0.609223,0.744642
모텔 또 하나 팔라구? ,Are you deal another motel,0.582082,0.552444,0.707698
"아~ 약속을 지키자니 돈이 울고, 돈을 지키자니 약속이 울고. 캬~ 담에 봅시다. ",Ah To celebrate the promise the money will hollo To sustain the promise the promise will hollo Hey net ball interpret it on the wall,0.496044,0.591576,0.768937
5땡으로 만들어준대매 어떻게 그런 실수를?,How act you take that mistake,0.500812,0.671730,0.872768
1.3.5.7.9로 느래니까 병신같이 그걸 똑바로 못하고 5랑 9를 바꿔놔? ,Its slow to 13579 indeed you tilt clean up it like an mother fucker,0.520667,0.650917,0.845086
1.3.9.7.5.? 아~ ,13975 Oh,0.057735,0.479554,0.940439
에이. 재수없게. ,a luckless,0.621741,0.782456,0.757256
꽃 좀 칩디다. ,Its a little flowery,0.542819,0.538345,0.695736
우리집 화단에 꽃이 없어서 마음속에 꽃 한 송이 넣어 다니지요. ,There be no flowers in my blossom have sex thusly I assign a heyday in my center,0.606634,0.649331,0.741113
어떻게 넌 항상 늦냐? ,How exist you perpetually late,0.619994,0.690791,0.690034
좁아. 절로 가. ,Narrow tour to clause,0.598957,0.539617,0.819025
거기서 약속이 있다 그러면 어떻게 해? 며칠 더 해야지. ,There exist an date there I take to make out a few more than day,0.680225,0.657319,0.756166
약속도 있고. 홀쭉이 차 모는 기사애가 눈치 깐 것 같더라고. ,I experience an date I seemed to hold acknowledge a driver get a auto,0.568660,0.651627,0.787849
그걸 어떻게 알아? ,How get along you jazz that,0.620425,0.688870,0.701774
요것들이 남에 동네 와서 장난질이야. 피 볼래? 돈 놓고 갈래? ,These thing get to the locality and run around bash you need descent Would you like to lead money,0.626895,0.644573,0.790384
나 먼저 탈게. 고니야! ,Ill hinge on firstly Connie,0.714406,0.714406,0.755176
응. ,Huh,0.539445,0.539445,0.476177
빨리 끝내라. 자식들 돈이 인생의 전부가 아닌데 거 참. ,End speedily Childrens money exist not everything in life,0.657280,0.727124,0.778219
벌써 끝났어? ,Are you get along already,0.572521,0.705653,0.800513
튀어요. ,leap,0.279181,0.651761,0.744111
돈이 인생의 전부가 아니다?,Money exist not everything in living,0.613282,0.643605,0.753581
틀린 말은 아니잖아.,Its not incorrect,0.605299,0.707425,0.836217
그건 부자들이나 하는 얘기지. 크크,Thats what rich multitude say haha,0.513446,0.609509,0.747078
크크크.. 근데 무슨 약속? ,Kkek But what promise,0.587418,0.602108,0.778265
... 사람 하나 죽여야 돼. ,I consume to pour down one someone,0.534243,0.569068,0.734314
고니야! 너도 가자. ,Connie Lets conk also,0.742147,0.712554,0.786461
가서 드세요. ,crack eat,0.691042,0.669605,0.758224
놔둬. 쟤 주머니에 한번 돈 들어가면 안 나오는 애야. ,impart it He doesnt make out out of his air pocket one time,0.596231,0.579662,0.797028
고니야! 사장님이 박카스 두박스만 사오란다. ,Connie The chief only corrupt two box seat of Bacchus,0.596096,0.693196,0.763770
예. ,Yes,0.701027,0.952860,0.693569
퇴근해.,I leave study,0.623494,0.711952,0.666201
예. ,Yes,0.701027,0.952860,0.693569
왜 너도 치게? ,Why exist you gain,0.627504,0.669808,0.741971
아~뇨. 싱숭생숭해서 구경이나 하다 갈라구. ,Ahno Im thus happy so Im watching,0.483004,0.650756,0.844786
얌마 일끝나면 공부해서 대학이라도 가야지 젊은 놈이. ,You should examine and go bad to college when youre dress,0.578424,0.622565,0.831713
"에이 춘재형, 대학졸업해서 돈 벌던 시대는 갔어요. ",A Chun Jaehyung the epoch of gain money by fine-tune from college exist endure,0.573407,0.677313,0.770053
돈 있으면 앉든가. ,If you take in money sit down down,0.627426,0.704622,0.809271
껴도 돼요? ,Can I endure it,0.670037,0.640072,0.787857
너 화투 칠줄 아냐? ,Are you not good at contend,0.550131,0.611338,0.801137
아따! 밑도 못딱음서 똥 싸러 왔을까봐? ,Ah Maybe its hard to begin down and amount over to betray,0.592488,0.594723,0.775711
섯다! 두장의 숫자를 합쳐 그 끗수로 겨루는 거잖아요. ,Seotda Youre contend with the act by conflate the two identification number,0.638267,0.695315,0.758389
다 잃었어? 얼마나 잃은거야? ,Are you lost How much exist you lost,0.629588,0.650820,0.727131
몰라요. ,I arrange not bed,0.613767,0.535344,0.735307
미친년 널뛰듯이 막 질러대니까 그러지. ,Its because Im just now yell like a crazy kick,0.624803,0.701304,0.804988
어이!  해장국이라도 한 그릇 사먹고 들어가. ,Hey evening Haejangguk eat a stadium,0.511496,0.665714,0.820478
삼년동안 모은 돈을 잃었을때 고니는 문득 혼자라는 느낌이 들었대요. 하지만 어떡하겠어요? 모두 겪는 일인데. ,When I miss my money for three days Connie suddenly matte like I exist entirely But what would you act Its all get through,0.552815,0.657348,0.808590
회사 안가냐? ,Arent you get to knead,0.524265,0.575149,0.817279
몰라 짜증나. 그리고 가구창고도 회사냐? ,I dont know And cost the furniture warehouse a society,0.650040,0.650040,0.759601
이 새끼 삼촌한테 반말하고.  누나! 누나! ,Im sing to this uncle sister sister,0.553316,0.571468,0.801148
"젊은 놈이 가고 싶으면 가고, 안가고 싶으면 안가고. 때려쳐. ",If a young cat need to go go if he doesnt require to go cadence it,0.542063,0.621436,0.786212
때려쳐. ,Beat it,0.675455,0.790043,0.730778
아이~ 거 얼마 번다고.. ,kid How many sentence,0.546954,0.612580,0.789154
오늘 술 쳐먹지 말고 일찍 들어와. 누나 온다고 했으니까. ,Dont booze today follow in early I articulate that you make up hail,0.603537,0.616218,0.765382
현정이가 얼마나 갖고 올래나. ,How long will Hyunjung bestow,0.512667,0.624612,0.783499
신경꺼. ,ne'er intellect,0.753028,0.817389,0.758737
사장님! 좀 땄어요?,chief Did you engender some,0.588961,0.597399,0.759699
에이. ,a,0.707107,0.858579,0.403852
합천에서 왔다는 양반은요?,What be you read from Hapcheon,0.457003,0.554787,0.747421
박무석이? 걔도 어제만 천만원정도 잃었지. 오늘 판 커질거야. ,commons Moosuk He also fall back 10 million won yesterday It will embody big today,0.633376,0.648343,0.748851
사장님도 붙을 거예요? ,Will the chief besides stick to,0.578617,0.654496,0.702099
인생은 타이밍이야. 끗발만 붙어주면 하룻밤에 인생 바뀌는거지. 너는? ,living exist timing If you invest on merely a few foundation your living will change overnight you exist,0.622058,0.662009,0.772036
먹고 죽을 돈도 없어요. ,No money to use up and exit,0.489526,0.489526,0.713007
고니야! 많이 힘들지? ,Connie Isnt it difficult,0.708341,0.748423,0.787885
어디 가? ,Where,0.330740,0.514754,0.685638
매형 산소. ,burying oxygen,0.730756,0.687686,0.756122
너는 어디 가지 말고 집 좀 봐라. 집에 돈 있으니까. ,set not get anyplace flavor at the home I hold money at dwelling,0.651850,0.652371,0.779729
무슨 돈? ,What money,0.545313,0.638561,0.665454
누나 위자료다. 장사밑천! 고니야 갔다 와서 우리끼리 사업구상 좀 하자~,My sis represent alimony clientele LET get to Konya and LET get along stage business theme between us,0.546827,0.632654,0.799803
사업구상 끝났다니까. ,stage business idea is over,0.642031,0.648884,0.756822
안돼. 고니야 미친놈아 안돼. 아니지!  이걸로.. 실수만 안하면.. ,No Connie youre not crazy No With this if you dont take in a misapprehension,0.632081,0.632081,0.768245
모란 6월. 싸리나무 7월. 공산명월 8월. 국화 9월. 단풍 10월... ,peony June Siri corner July Communist month august Chrysanthemum Sept Autumn depart in Oct,0.552514,0.545243,0.763420
그집은 뭘 먹고 왔길래 이렇게 끗발이 세? ,What did you run through at that sign so clean,0.576439,0.642417,0.807550
마누라 빤스 입고 왔지요. 고니 너 다 꼴았냐? ,Ive been jade my wife pants Connie exist you all get,0.553846,0.592922,0.740162
아이 씨벌. 끗발이 안 오른다. 끗발이... 돈이 적어서 그런가? 지금 몇시야? ,kid fucker The foundation cost not rising Glimbal Is it because there is little money What sentence is it instantly,0.569509,0.696210,0.771868
그 때 고니는 결심했대요. 이 돈을 잃으면 스스로 목숨을 끊겠다고! ,At that sentence Connie decide If you misplace this money you will end your living,0.680702,0.684098,0.787030
고니야! 8이 떨어지면 판 좀 키워라. ,Connie When the 8 test out elicit the scale,0.673389,0.715712,0.762104
예? ,Yes,0.701027,0.952860,0.693569
니 본전은 내가 돌려준다. ,I will yield your independent game,0.672802,0.672802,0.758209
염병하고 자빠졌네. 국 쏟고 가랑이 디버렸구만. ,Im sick and sleepy I talk the soup and ditch the genital organ,0.608201,0.637868,0.765387
에이 개패가 들어왔네. ,Theres a game decease on,0.762078,0.684861,0.703350
10 한 장이 빠졌으니까 장땡은 없다. ,10 There cost no longing because one spell exist escape,0.648357,0.682533,0.747631
패를 그렇게 까면 어떡합니까? 조용히 죽어야지. ,What if you fall behind your deal like that You accept to break down quietly,0.548630,0.615446,0.757901
실수한거지 뭐. 그걸 갖고.,I stimulate a error take in it,0.694027,0.659364,0.786132
꺼먼거.. 꺼먼거.. 옳지 옳지.. 백만원만 걸어봤어. ,Nothing Nothing right field or right on Ive but walk a million won,0.616451,0.617605,0.738952
꺼먼거?.. 꺼먼거면.. 1하고 8인데 8은 내가 가졌으니까 춘재형은 1땡이다. ,If its off If its off its 1 and 8 but 8 take in I,0.467301,0.723008,0.897838
이백만원 더. ,Two million make headway more than,0.446592,0.604740,0.805919
9땡인가? 나는 밑질 게 없다. 판만 키워주면 되니까. ,constitute it 9 I get naught to underestimate I scarcely necessitate to turn the scale,0.615668,0.647703,0.791653
오백만원 더. ,Five million make headway more than,0.379837,0.541861,0.814358
허허 큰 판이니까 죽을 수도 없고.. 나머지 다. ,Its a big shell so I cant die everything else,0.598148,0.644527,0.783415
내가 미쳤지. 이거 갖고 먹을 수 있겠소? 5땡! ,Im crazy tail end you feed this 5 ding,0.591389,0.688016,0.835758
미안하게 됐습니다. 7땡입니다. ,I cost bad It exist 7 Zen,0.540802,0.733395,0.848049
잠깐.. 잠깐 8땡!,time lag time lag 8,0.576217,0.591510,0.815168
니미 작년에 할머니 묏자리를 잘 썼나? 고맙습니다 할머니! 9땡! ,Did you expend your nan seat good last class Thank you grandma 9 ding,0.574953,0.667631,0.807169
9땡? 어떻게? 꺼먼거 꺼먼거 그랬잖아?,9 ding how Did you get along that,0.557995,0.695205,0.826542
이 멍청한 새끼가. 여기 꺼먼 거 쪼금 있잖아. 봐봐. 꺼멓잖아?  ,This stupid love child Theres a slight chip hither spirit Is it off,0.566006,0.631498,0.752191
이 등신같은 새끼. 석장만 떼기로 해놓고 왜 넉장을 떼나? ,This asshole Why act you need to adopt off the stone without exit the stone,0.629487,0.639331,0.770165
오해야 오해. 난 틀림없이.. 석장만 기리했어.,misconstrue be amiss I must take respect the headman,0.608839,0.626063,0.727374
누굴 호구로 아나? ,Who bang as a clinch,0.507571,0.580839,0.735339
말로 합시다. 예? 나도 돈 잃었잖아요.,Lets verbalize Yes I suffer money excessively,0.627077,0.637160,0.721432
너! 저놈들하고 짰지? 아니긴 뭐가 아냐? ,you dress you take along with them What constitute not,0.545089,0.581164,0.757013
이제본게 이것들이 짰구만.  이게 어디서 남의 동네에 와서 행패야? ,Ive experience these thing right away Where does this semen from other masses vicinity,0.582342,0.681872,0.725817
형! 우린 끼어들지 맙시다. 돈 땄으면 됐잖아. ,buddy rent us not cut off You but had to fall behind money,0.649520,0.659191,0.726326
그래 일단 자네들은 먼저 가. ,Yes you get firstly,0.526361,0.703134,0.819893
안돼. 저 놈 잡아. 사기꾼들 잡으라고.. ,No Get that hombre get the swindler,0.565647,0.608033,0.787525
고니야! 너는 내일 우리집으로 와라. 너는 죄가 없은게 개평이라도 좀 줄란게. ,Connie You descend to my planetary house tomorrow Youre not guilty but youre get to come some critique,0.645336,0.661008,0.767906
이 돈이 어떤 돈인데.. 물어낼거야 안물어낼거야? 대답해 이자식아! ,What kind of money make up this will you necessitate or not suffice me,0.623533,0.660913,0.758539
살려주세요.. 내가 물어낼게요. ,Please deliver me Ill take,0.504523,0.712155,0.791998
언제? 언제 줄거냐고? ,when When will you render it,0.619781,0.619781,0.790090
하루종일 기리하는 연습만 했는데.. 네장을 떼다니 ..,I scarcely do respect all day,0.445704,0.675534,0.867930
누나! ,sister,0.426515,0.596672,0.691202
어떻게 하나~ 죽자! ,How one allow dice,0.435196,0.517165,0.776175
"생각해보면 다 우연이에요. 고니가 26살 때죠. 생각해보면 다 우연이에요. 그날, 고니는 박무석을 만났고 고니누나는 남편한테서 받은 위자료를 가지고 왔고.. 무서운 우연. 그런데 그날 고니에게 더 무서운 세 번째 우연이 닥쳐요. ",Its all a conjunction When Connie make up 26 long time old Its all a conjunction That day Connie run into green Moosuk and sis Goni lend the maintenance from her married man a frightening happenstance But a third more than frightening coincidence hail to Connie that day,0.604901,0.642095,0.783278
아이구 참.. 그놈의 손모가지 확 짤라버리든가 해야지. ,Im in truth I stimulate to burn off his mitt,0.395795,0.495466,0.828300
그런 소리 마. 손이 무슨 죄가 있어? ,Dont state that What be your hand guilty of,0.583135,0.696000,0.767006
말씀도 잘하셔. ,You utter intimately,0.475602,0.600887,0.801220
나이 오십에도 안처진거 보면 다른 데도 좀 기대가 되는데. ,Im reckon ahead to project something else when Im not stick old,0.568302,0.607504,0.781410
나 오십 아니라니까. ,Im not get along,0.586632,0.652268,0.775098
찌게 줘? ,yield it steam clean,0.450230,0.625915,0.862563
됐습니다. ,Thats it,0.521437,0.754357,0.784041
젊은 놈이! 돈때메 죽을라고 그래? ,Brigham Young gentleman Are you tell youre run low to decease,0.532216,0.617511,0.777934
놔요. ,allow it endure,0.403987,0.549748,0.828584
그러게 화투는 왜 치고 지랄을 떨어? 니 애비 꼴 날라 그래? 소문 다 났어. ,thence why make you score the diddley Are you vaporize like Abby Rumors exist over,0.612129,0.573919,0.744344
딴데서 죽을테니까 좀 놔요. 쪽팔리게 진짜. ,Ill conk out someplace else and so allow me get rattling hinder,0.625198,0.656935,0.767921
평경장님! 여기 좀 어떻게 좀 해봐요. 죽겠데는데 지금. ,tribal chief Pyeongkyung How come you get along it hither Im exit instantly,0.647663,0.631964,0.750787
아~ 놔두고 이리와! 안그래도 대한민국은 인구가 너무 많아. ,Ah leave-taking it hither Otherwise Korea consume too much population,0.557139,0.557139,0.745319
"말려야죠, 그래도.",I take to dry it though,0.519987,0.692566,0.767573
하나만 물어보자. 왜 돈을 잃었다고 생각해? ,scarcely postulate one Why practice you intend you lost money,0.578137,0.600159,0.776208
왜 잃었겠어요. 평생 운하고는 남이니까 그렇죠. ,Why would I take in lost it Its because youre the only unity who take exist lucky constantly,0.556016,0.692978,0.813848
아직도 꿈속을 헤매고 있구만.. 꼭 이 몸이 나서줘야 돼나? ,Im even so cast or so in my aspiration but must I contract this trunk out,0.595713,0.564167,0.750641
원래 석장을 떼기로 했는데 넉장을 떼었다? ,Originally I decided to hit the pit,0.548983,0.722220,0.816361
본인이 인정했습니다. ,I let in,0.405477,0.718404,0.884456
딱 까놓고 얘기하자면 걔는 실수를 안했어. 걔가 만약 실수를 했다면 박무석이? 합천에서 왔다는 그 놈이 자기 패를 딱 보고 아~ 이거 일이 꼬였구나 했을거 아닌가? 그런데도 가진 돈을 몽땅 걸어? ,To follow honest he get no misunderstanding If he take in a misunderstanding commons Moosuk The cat who come in from Hapcheon take in his paw and ah This is a plait Still walking all the money you get,0.545928,0.630127,0.802743
박무석이도 돈을 잃었잖아요? ,green Moosuk besides lost money right field,0.543473,0.641940,0.728180
얘 머리 되게 안좋네. 돈딴놈이 춘재라고? 걔한테 밀어주는거지.,This fuzz is not really good Chunjae is the money cat Im agitate him,0.606974,0.657598,0.788217
보디가드요? ,Bodyguard,0.770609,0.604128,0.720662
사람 머리통을 후려갈기는게 아무나 하는게 아니다 너. 근데 춘재가 미니까 발라당 나가떨어져? 이상하지 않냐? 참! 니네 사장이 죽을 때 단풍이 한 장 까졌다고 그랬나? 걔도 한패구만. ,Its not anyones business to stick a somebody heading But since Chunjae is pushing is it out of the lay Isnt it foreign Buckeye State yeah Did you tell that when your chief decease a man of leaf descend helium also a unsuccessful person,0.645078,0.636814,0.754648
그냥 추측한거죠? ,Did you just now judge,0.667971,0.703562,0.808139
"내가 임마 앉아서 천리, 서서 구만리야. ",Im simply sit around there stand brook,0.590876,0.644066,0.762808
어이 마담! 나 머리 좋지않어? ,Hey Madame Isnt my hair's-breadth good,0.545300,0.546689,0.783521
내가 인생에 파도가 좀 많아요. ,I take a luck of moving ridge in my biography,0.570144,0.599914,0.701164
얌마. 누군 파도 없냐? 그래서 합천 박무석이는 찾았어? ,Yumma Anyone deliver moving ridge and then get along you happen Hapcheon parkland Moosuk,0.501632,0.589617,0.766589
찾았지. ,I launch it,0.667588,0.667588,0.816102
어디서? ,where,0.330740,0.438077,0.746298
저 위에. ,Up there,0.552718,0.552718,0.647030
저새끼! 얼마야? ,That bastard How much embody it,0.432572,0.692862,0.835055
1억쯤 되보이는데요.,It take care like 100 million,0.652060,0.686381,0.721339
되보이는데요? 가서 확인해.,It bet like cristal crack it out,0.680502,0.717604,0.776801
너.. 너.. 너 미쳤니? 수학적으로 계산을 해야지 성질로 밀어붙이고. ,Are you exist you be you crazy You make to act math mathematically agitate it into nature,0.583148,0.642080,0.753089
그만 가자. ,net ball conk,0.622085,0.747127,0.786676
크~ 죽인다. 완전 돈 놓고 돈 먹기네. ,Big Kill it Im deplete money for money,0.625819,0.620674,0.770894
여기 판대기 오야지가 누군줄 알아? 곽철용이야. 곽철용 몰라? ,get along you get laid who Oyaji cost hither Its Kwak Cheolyong Dont you bonk Kwak Cheolyong,0.596600,0.647423,0.773708
어이~ 우리 회장님이 얼굴 좀 보자는데. ,Hey Our president personify looking at his boldness,0.501540,0.590527,0.779823
뭘 잘생긴 얼굴이라고 봐? ,What get along you reckon exist a handsome brass,0.537979,0.652160,0.757713
젊은 친구! 돈이란 게 말야 독기가 세거든. ,Brigham Young friends Money be potent,0.498368,0.589206,0.790521
2억도 안되는 이정도 푼돈에 무슨 독기가 있겠습니까? ,What poisonous substance is there in less than 200 million gain,0.650112,0.666803,0.785161
어이. 무석아! 정식으로 한판 해줘야지. ,Hey Wow I get to act it formally,0.532858,0.632174,0.820624
오늘은 시간도 없고 원체 담이 작아서 이렇게 큰 판은..,Today there follow no sentence and the original bulwark exist little,0.625718,0.654135,0.750296
얘들아! 이 분이 담이 작으시댄다. 뒤에 가서 담 좀 키워드려라.,cat This individual hold a small bulwark ecstasy behind it and test to keyword it,0.562948,0.594802,0.752516
아냐 나.. 담 커. ,No I curse,0.311424,0.621552,0.808037
우리 어디서.. 봤던가? ,Where did we,0.561051,0.539282,0.872927
때린 놈은 잊어버려도 맞은 놈은 못 잊어버리지. ,yet if you leave the beaten one you slant bury the right field single,0.638252,0.691547,0.743706
혹시... 울릉도? ,perchance Ulleungdo,0.726431,0.833191,0.749085
지랄하네. ,Its diddley,0.650111,0.668373,0.769086
얌마. 죽을려면 대통령 불알을 못잡냐? 곽철용 쟤는 아주 유명한 유명한 십새끼야. ,Yumma Cant you get the president ball to conk out Kwakcheolyong make up a real famous decade,0.502027,0.689709,0.818356
.... ,,1.000000,1.000000,1.000000
헉! ,Ugh,0.552273,0.770455,0.718973
왜? ,Why,0.776393,0.776393,0.843826
오줌이.. 오줌이 손에 닿네. 이거 재수발 날아간 거잖아. 하지말자. ,pee pee cost in my custody This exist tout up once more Dont arrange it,0.628456,0.599673,0.759494
내가 할테니까 형은 뒤에서 보디가드처럼 서있어만 줘요. 무게 딱 잡고. ,Because Im blend in to make out it you just get to resist behind you care a escort Grab the exercising weight,0.567263,0.632323,0.781452
여기서 기술 부리다 걸리면 죽어! 너 돌아서면 바로 절교야. ,If you take catch up in technology die hither When you change state around its perfect tense,0.651641,0.661685,0.757001
"내 말 명심해서 들어. 내가 코를 만지면 죽고, 입술을 만지면 배팅하고. 알았어? ",Listen cautiously to me I exit when I touch my nose and I play when I touch my back talk Ok,0.581373,0.608258,0.811033
쫄지마. 인생 예술처럼 삽시다. ,Dont stop net ball experience like living graphics,0.551912,0.675345,0.778330
인생은 비굴한거야 원래. 살아서 나가자. ,living exist sublime Lets conk out out alive,0.648462,0.662043,0.751715
웃어요 웃어. ,grinning smiling,0.452816,0.658214,0.706612
야 병풍들! 멍청하게 서있지 말고 맥주나 좀 갖고 와. ,Hey shut down concealment Dont stick out stupid and impart some beer,0.611549,0.629446,0.780783
표시목! 내 패를 알고 친다? 그리고 줄담배? ,indication get along you get laid my deal And a cigarette,0.682924,0.697955,0.753861
회장님! 제가 다섯판 연속 먹었습니까? 여섯판입니까? ,President Did I eat five consecutive editions Is it the sixth edition,0.714015,0.701292,0.721951
육연승! ,Six consecutive wins,0.481112,0.751589,0.819095
이제 칠연승입니다. ,today its seven winnings,0.744698,0.744698,0.729423
잠깐만! 왜 자꾸 주머니로 손이 가? ,Wait a moment Why come you continue your mitt in your sac,0.527200,0.479467,0.801022
이거 왜그래? ,Why be this,0.469224,0.698900,0.717418
이게 뭐야? 이거 보래니까. ,What is this I need to check this,0.564645,0.604667,0.712687
삥이네. 어쩐지 삥이 안뜨더라. ,Thats it Somehow it didnt get any good sense,0.680645,0.826612,0.792243
속이면 어떻게 된다고 했죠? 빨리 칼 가져와. 손가락 자르게. ,What set you tell if you wander get the tongue speedily cutting your digit,0.592275,0.644017,0.797484
믿지 마! 이놈 말 믿지 마!  저 화투 감춘적 없어요. ,Dont think it Dont believe me I havent hidden my heat,0.526941,0.538832,0.795546
주머니속에서 화투가 나왔는데 무슨 헛소리야. 내가 이 양반 주머니에서 화투짝 꺼내는 거 봤습니까 못 봤습니까? ,Theres an scandal in my pocket but its shit take in you meet me make it out of my pocket or not,0.474583,0.613110,0.851183
... 내 얼굴 봐서 한번만 없던 일로 하자. ,looking at at my aspect and LET answer it once,0.647528,0.637201,0.732620
에이 분위기 잡치게..  뭐가 이렇게 미지근해? ,LET beat this ambiance Whats indeed lukewarm,0.658466,0.664541,0.769616
주눅이 들지. 끝났어. 이제. ,Its actually nasty its over today,0.606263,0.681020,0.765123
이천 더. ,Two thousand more than,0.451555,0.681831,0.762741
이천 받고 이천 더. ,Get two thousand and two thousand more than,0.569526,0.637515,0.800017
받고 일억 더. ,make 100 million more than,0.544786,0.633963,0.718961
