Original(Korean),Basic Translation(google trans),comp1 score,comp2 score,comp3 score
으리그 이 ... 끝까지 둔해빠진 새끼들 !,Ughleagues the dull illegitimate to the end,0.713756,0.735539,0.716357
...,,1.000000,1.000000,1.000000
"아무튼 뭐 ...  ... 잘먹구 잘 살아라, 들 ...",Anyway comfortably eat good unrecorded good cat,0.532415,0.652888,0.794806
가만 ... 아까 동전 있었는데 ...,time lag I take in a coin originally,0.660532,0.681157,0.724285
현서 ? 벌써 왔니 ?,Hyunseo Are you already here,0.631405,0.579926,0.752556
깨라 쫌 ! 깬김에 !,Awake aftermath up,0.604112,0.585814,0.728919
아우 ... 아부지 ...,Ow Abuji,0.512135,0.739951,0.853275
정신 좀 차려 임마 ! 저기 4번 돗자리에 오징어 한 마리여. 빨리 궈!,seed on sheik There is one squid on the mat Get it fast,0.527394,0.630879,0.826744
현서야 ! ,Hyunseo,0.668906,0.889480,0.686526
아 - 아 - 빠 !,Ahahpa,0.302723,0.490579,0.785051
아으 ... 달지 않냐 ?,Ah isnt it sweet,0.692441,0.692441,0.796647
어째 넌 하루에 꼭 하나씩 그걸 그르케 ... 들이키냐 ...,Why cause you produce it one by one a day get along you get it,0.675416,0.660412,0.769049
크 - 아 ... 시원하다  ,Bigah its aplomb,0.613706,0.613706,0.713666
건더기도 좀 먹지 ...,Eat some of the constituent,0.588721,0.599355,0.678320
"이틀전 한강에 투신자살했던 윤창건설 윤창수 사장의 사체가 오늘 오전 7시경,",The dead body of Yoon Changsoo president of Changchang building who place suicide on the Han dynasty River two day ago exist around 7 exist today,0.554830,0.660988,0.785546
아우 끔찍해 ... 왜 아직두 뉴스야 ? 중계 시작할 때 됐는데 ...,Oh its terrible Why make up you nevertheless doing the intelligence Its sentence to take up relay,0.573998,0.663661,0.827618
오백오 번 눌러봐 ... 운동 채널.,pressure 505 meter workout channel,0.542645,0.603435,0.804182
아 ! 나온다 !,Ah It total out,0.502218,0.689734,0.736035
고모 파이팅 ! 아자아자아자 !,Aunt Fighting Aja aja aja,0.495220,0.557851,0.766443
박남주 ! 박남주 !,Namjoo parking area Namjoo parking area,0.456608,0.420405,0.878017
남주박 ! 남주박 ! 남주박 !,Nam Joobak Nam Joobak Nam Joobak,0.858579,0.858579,0.921913
시작한겨 ?,take in you started,0.534591,0.633436,0.752878
응 ! 여자 개인결승 ! 할아버지 안 봐 ?,Huh cleaning lady Individual final examination Dont you project Grandpa,0.471685,0.654009,0.865992
"내는 ... 딸내미 시합은 도저히 못보겄어, 조마조마해서 ...",I dont I never see my daughterinlaw I was neural,0.534388,0.621349,0.819794
방금 4번 돗자리 손님한테서 항의가 들어왔어. 오징어 다리가 9개라고 ...,A dissent take in only make it from a guest at mat 4 9 squid branch,0.564407,0.646455,0.822488
......,,1.000000,1.000000,1.000000
다리 하나 ... 니가 먹었지 ?,One branch get along you eat,0.655874,0.655874,0.735380
...,,1.000000,1.000000,1.000000
이런 썩을 ! 손님꺼에 선을 대 ? ... ,This bunk argument up for client,0.619441,0.657890,0.680964
저게 언제부터 저기 있었냐 근데 ...,Since when exist it there,0.578000,0.743533,0.817244
무슨 ... 공사장빈가 ?,What cost it empty,0.501976,0.659439,0.765584
쬐끔씩 꿈틀거리는거 같은데 ?,strait like a little wriggling,0.599223,0.726004,0.819413
으 ... 쏴 !,Ugh shoot,0.518548,0.660465,0.709499
와 -  캔째루 삼켰나분데 !,Wowyou eat up it,0.439752,0.617811,0.846473
... 따서 줄걸 ...,ailment clean it up,0.619355,0.735916,0.776456
뭐야 근데 도대체 ... 저렇게 큰 물고기도 있나 ?,What the Hades is there is there a Pisces like that,0.642040,0.673882,0.735994
저 모자 저거 내가 사준거 ! 저거 쓴게 젤 예뻐 !,That hat that I bought That is pretty pretty,0.535649,0.668118,0.808859
진짜 예술이여 예술 ! 내 딸이라서가 아니라 !,existent graphics graphics Not because its my daughter,0.636547,0.716274,0.774282
저게 도대체 뭐여 !,What is that,0.473565,0.696043,0.796690
쫄거 없어 !,goose egg,0.554121,0.588805,0.763132
놔 - ! ,allow depart,0.345649,0.555713,0.887577
꺄아 - ! 금메달 !  아빠 ! ... 할아버지 ! ,Yeah gold medal papa grandad,0.609619,0.638363,0.734022
현 - 서야 !,HyunSeo,0.668906,0.889480,0.686526
야 ! 으아 !,Hey OMG,0.353495,0.353495,0.591495
... 아빠 !,dada,0.318303,0.683772,0.772340
으아 - !,OMG,0.383772,0.383772,0.642636
실로 어 - 처구니 없는 사태가 발생했습니다 !,Indeed uhan silliness take happen,0.537546,0.667810,0.827653
"합동재해대책본부 측은, 한강 인근지역 주민들에게 각별한 주의를 부탁하는 한편,",The juncture cataclysm reaction main office postulate the residents of the Han dynasty River country for special attending,0.648413,0.671838,0.747946
시민공원 매점 운영자 여러분들 ! 최대한 빨리 철수를 서둘러,Citizen parking lot stalling wheeler dealer speed up detachment every bit shortly as potential,0.588036,0.660973,0.754966
현서야 ! ... 금이다 금 !,Hyunseo gold exist gold,0.680586,0.682511,0.743326
애야 ... 니 고모가 ... 고-올드 메달 ... 으어억 ...,Hey your aunt Goold medal Ugh,0.478222,0.691882,0.838614
"경기 6 디에 이 - 사 -팔 - 칠 ! 이, 사, 팔, 칠, 아반떼 !",catch 6 Dfoureightseven This four eight seven Avante,0.603863,0.678680,0.774011
으으으 ... 현서야 ... 억울해 ! ... 현서야 ...,Ugh seoseo Im sorry seo seo,0.528490,0.654680,0.755707
근데 ...  니가 뻘짓했다메 ...,But you cheat,0.456662,0.632479,0.876952
... ?,,1.000000,1.000000,1.000000
얘기 다 들었어 ...  ... 엉뚱한 애 손 붙잡고 뛰었다메 !,Ive get word all of it I seize the wrong baby and ran,0.585625,0.643494,0.797465
나자빠진 현서를 내비두구 ...  ... 다른집 딸내미를 ... !,LET confound out the recede seo the daughter of another sign,0.592314,0.660623,0.772391
그게 ... 내가 ... 으에엑 ...,Thats I Ugh,0.667437,0.827078,0.783393
니가 아빠냐 ? 그러구두 니가 ... ,Are you a founding father But you exist,0.541518,0.511462,0.726442
잠이 오냐 ? 잠이 와 ? ...  이 상황에서 잠이 와 ?,Are you sleep Are you asleep set you come down asleep in this berth,0.443788,0.589157,0.784939
고만해라. 니 형이 원래 잠이 많잤냐.,Be quiet Did your older buddy log Z's a plenty,0.647301,0.647301,0.737564
"왜 사진을 이걸 썼어요 ? 내가 사준 남방 입구 찍은거, 그게 훨 이쁜데 ...",Why set you indite this video The southern incoming that I corrupt its sol middling,0.679867,0.707660,0.766115
... 저 사진은 꼭 지 엄마 닮게 나왔어.,That scene fall out like a female parent,0.595345,0.674870,0.723518
행여 ! 애민 뚝 싸질러놓구 도망간게 벌써 13년 쩬데 ...,bent Its already equal 13 year since I play out of Aemin,0.561726,0.702959,0.827758
나라두 도망가겠다.,I will play out,0.401463,0.612186,0.841161
사고처서 난 애를 사고 처서 보낸거여 ...,In the chance event I bribe and sent a kid,0.639349,0.710197,0.741385
씨발 무슨 교통사고면 황당하지나 않지 ... 어쩌다 보도못한 짐승한테 ...,What a automobile accident youre not get to be trouble,0.406351,0.603068,0.847140
"옛 어른들 말씀 애두, 사람 해친 짐승은 반드시 사지를 절딴내서 끝장을",The tidings of the old adults follow sad and the animate being that make harmed the valet must edit off the limbs and end it,0.622161,0.684802,0.765177
... 그럼 장씨 아저씨한테 연락해봐. 아부지 그아저씨랑 친하잖어.,and so contact Mr Zhang My father embody nigh to him,0.523417,0.636007,0.810692
총포사 장씨 형님 ?,Mr Jang the gunsmith,0.603589,0.681423,0.737635
그래. 그 집이 짐승 잡는데 전문아냐. 총두 많구 ...,okay The sign is not specialized in captivate animate being There make up a heap,0.576514,0.622807,0.786214
그려 ... 내 손으로 직접 쏴죽여야 분이 좀 풀리겠다.,get it take it with my own manus and Im break to get a short loose,0.578920,0.647206,0.778620
"여러분 ! 여기 주목 !  자 여러분들 중에,",Everyone earnings attention hither today among you,0.657295,0.609092,0.750613
여러분들 생명과 관련된 아 - 주 중요한 문젭니다 !,Oh its a rattling significant motion come to to your living,0.598380,0.588574,0.797541
근데 저 씨방새는 ... 뭐가 뭔지 설명도 안 해주고 ...,But that squirrel doesnt still explicate what it make up,0.625324,0.623646,0.778059
여러분 ! 지금쯤 아마 텔레비전뉴스에서 설명이 나오고 있을거 같은데요 ...,Everyone By forthwith the telly tidings may exist explaining,0.585938,0.682066,0.796186
"길게 말씀드릴 시간이 없으니까, 상황설명은 뉴스로 대신 합니다 !",Since there be no sentence to talk for a tenacious meter the site description exist replaced by tidings,0.642278,0.692113,0.761330
아 참 !  혹시 괴생물체랑 직접 접촉하신 분 있습니까 ? ,Oh cause you always sustain lineal physical contact with a freak being,0.671656,0.670717,0.766565
... 어 ...,uh,0.717157,0.717157,0.506135
괴물 직접 만지신분 !,If you extend to the monstrosity yourself,0.528869,0.650853,0.776222
... 저기 ... 꼬리 쪼끔 ...,over there cuff,0.546142,0.553219,0.756607
으와 ! 그 자리에 가만히 ! 움직이지 말고 !,Whoa Stay there Dont motion,0.472554,0.583822,0.854033
어 ... 어 ... 아부지 !,Uh Uh Fatherhood,0.417326,0.721997,0.733490
강두야 !,Gangdu,0.649024,0.668312,0.736101
많은 시민들을 죽음으로 몰고간 이번 한강 괴생물체가 예상보다 훨씬 더 치명적인,The Han River gangrene which have got defeat many citizen to last cost far more deadly than gestate,0.576454,0.662551,0.796117
이번 한강둔치 괴생물체 난동사건때 괴물과 맞서 용감히 싸우다 한쪽팔을 잃은,During the Han dynasty River Dungeon freak bacchanal he endure the giant and lost one sleeve,0.553675,0.633773,0.781213
미군 의료진의 정밀 검사 결과 도날드 하사관의 몸에서 괴생물체와 접촉한 신체,A nigh interrogation of United States military medical personnel bring out that Sergeant Donalds torso come up into liaison with a crypt,0.543030,0.645344,0.805424
현재 바이러스 샘플을 미국 질병관리 통제센터 즉 CDC로 보낸 미 8 군 ,Eighth ground forces presently broadcast computer virus sample distribution to the USA gist for Disease mastery and Prevention CDC,0.541474,0.629103,0.793612
... 이에 당국은 괴생물체 출현 당시 사건현장에 있었던 바이러스 감염 의심자들을,consequently the government give birth account distrust of a virus contagion at the scene of the occurrence of the being,0.682095,0.698055,0.737164
"오염지역 > 표지판에서 포커스 이동하면, 서둘러 둔치를 빠져나오는 경찰과 군병력의 철수 광경이 보인다.",Contaminated domain When you travel the direction from the star sign you can get wind the detachment of the law and military scout troop in a rushing out of the keep,0.580733,0.660308,0.742621
"한편, 오늘 오후 성산대교 부근 둔치를 순찰중이던 마포 경찰서 소속 경찰관 ",meantime a police force military officer belonging to the Mapo Police Station cost police the blitz near Seongsan span this afternoon,0.602285,0.642875,0.748082
저기 ... 집에는 언제쯤 갈 수 있는겨 ?,Hey when can you plump dwelling,0.496217,0.639320,0.817158
집에 못갑니다.,I slant perish plate,0.492717,0.555972,0.706461
아빠 ! 나 죽는거야 ?,dada MA I fail,0.407214,0.709501,0.797700
입방정 떨지말구 ! 선생님 시키는대로 해 !,Dont excite the three-dimensional doh what the instructor pronounce,0.615558,0.665384,0.770548
등이 자꾸 가려워  등이 이상해 ! 안에 뭔가 있는거 같어 ... ,The back keep itch and the back is unusual I guess there something inside,0.663358,0.651801,0.705739
너 목욕 안해서 그런거여.,Its because you dont bathe,0.564412,0.672039,0.795089
조용히 하시구요 ... 움직이지 마시구요 ... ,beryllium quiet dont motility,0.517439,0.534145,0.816027
...  아빠 ! 아빠야 ?,dada constitute it dada,0.432884,0.614148,0.900304
... ! !,,1.000000,1.000000,1.000000
아빠 나 현서 !,dada or Hyunseo,0.625233,0.626319,0.767254
어 ... 으 !,Uh,0.507107,0.717157,0.297747
아빠 ... 나 여기  깜깜한 하수구 같은 덴데 ...,dada Im like a shadow toilet hither,0.432725,0.604677,0.841587
"어, 어디 ? 어디라구 ?",Uh where Where is it,0.510813,0.510813,0.636055
몰라 아빠 ...  ... 여기 괴물이 ... ,I dont know dada the demon hither,0.501129,0.618199,0.767962
"혁, 현서야. 울지말구!",Hyuk its Hyunseo Dont call,0.679773,0.618885,0.751889
아빠 ! 핸드폰이 밧데리가 ...,dada The cell headphone get a shelling,0.668543,0.666321,0.738538
"아, 아부지 ! ... 아빠 !",Ah Fatherhood dada,0.443905,0.711274,0.833761
너두 봤냐 ?,deliver you project it,0.455799,0.760408,0.788033
뭘 ?,What,0.443142,0.697605,0.834609
길에 돈 ! 지폐 !,Money on the road money,0.506742,0.669687,0.720429
"너두 좀 찾아봐 임마, 반 너 줄게 !",take care for you dude ailment hold you half,0.571494,0.616236,0.783681
"야 야, 빨리 들어와 ... 바로 옆이 강물이다.",Hey hey get in speedily Right next to the river,0.605417,0.605417,0.721222
오 예 !,Oh yeah,1.000000,1.000000,1.000000
으아악 -,Ugh,0.448993,0.676065,0.747306
제발 ! ... 제발 !,delight please,0.549969,0.578508,0.676780
핸드폰 ... 잘 터지는 핸드폰 ...,Cell headphone Cell sound that belt down good,0.684582,0.707054,0.763974
"따님 박현서, 당산여중 일학년 ... 사망자 맞잖아요 ?",Your daughter green Hyunseo Dangsan Girls midsection schooling Youre dead,0.656231,0.633012,0.749025
아니 그러니까 ... 사망잔데 사망을 안했다고 !,No Im I pall but I didnt die,0.398083,0.604930,0.857828
"이봐요  지금 얘기가 자꾸 뱅뱅 돌잖아, 이 - 빠이 반복 데쓰요 !",Hey the tale hold back spin around IPai repeat,0.394502,0.633769,0.849676
"내 말을 좀 끝까지 들어봐, 그러니까 ... ",Listen to me a number indeed,0.525671,0.666125,0.825614
죽는걸 두 눈으로 봤다 ! 근데 새벽에 전화왔다 ! 뭡니까 이게 ?,I check go with both optic But I cry at morning What is this,0.503533,0.595228,0.805739
자 ! 잘봐 !  ... 이 핸드폰 ! 이게 박현서야 !,Now facial expression Carefully this cell telephone This make up parkland Hyunseo,0.460108,0.658794,0.838642
완전히 먹어찌 ? 그래똬가 ...,rust it all Yes,0.501896,0.693234,0.837496
일이 이렇게 된거라니까 ! ... 휴지통이 하수구 !,This is what encounter meth can sew together,0.670839,0.673878,0.754289
정신과 치료 받던 분입니까 ?,Are you a shrink,0.305539,0.492811,0.929296
"그건 아닌데, 정신적 충격 땜에 일시적으루 분열증세가 생기는게 아닌가 ...",Its not that but because of the genial daze the temporary symptoms of fragmentation,0.650408,0.717374,0.754219
"이보쇼 ! 통화내역조회, 발신자 위치추적 같은 거 다 해봐야 되는거 아냐 ?",show up me Isnt it necessary to arrange all matter like call chronicle interrogation and company fix chase,0.563021,0.615819,0.778805
저기요 ...  그런거 아무나 애브리데이 해주는게 아니에요 ...,Excuse me Its not everyones natal day,0.619638,0.622837,0.809733
우리현서가지금하수구레니까이바보똥대가리들이말귀를못알아으흐흑 ...,Because our seo exist instantly a toilet Ibabo ca-ca doesnt get laid what to enunciate,0.619499,0.607849,0.755028
대학 나온 니가 좀 자세히 설명을 하지 그랬 ...,Why didnt you endure out of college to dilate,0.517920,0.606726,0.807905
근데 전화가 오긴 온거야 진짜 ?,But the shout get rattling,0.510175,0.658865,0.818029
잠깐 !,time lag,0.705719,0.705719,0.817797
어쨌든 지금 ... 현서가 살아있다 이 말 아냐 !,Anyway instantly seoseo cost animated,0.655856,0.714675,0.761937
강두 너 아부지 함 봐봐,Kang Doo looking at your father,0.645520,0.573927,0.758465
너 이거 ... 진짜구나 ...,You exist This cost existent,0.496737,0.654849,0.820178
...  그러게 우리가 지금 여기서 이러구 있을 때냐고 ...,thence thats when exist hither decently now,0.634336,0.740854,0.760579
... 저기요 ... 잠깐 !,Excuse me await,0.653610,0.625243,0.767898
아니 이사람들이 지금 ...  남자 조무사들 어딨어 !,No these citizenry make up now Where embody the male person assistant,0.508243,0.638174,0.773537
"아니, 우리가 같이 다니는게 그렇게 눈에 띄냐 ?",No exist it and so obtrusive that we decease together,0.633782,0.663248,0.734312
"아무튼 ! 이럴 때 일수록 뭉쳐야 혀, 무조건 같이 다니 ... ",Anyway In this event the more than you stand by in concert the spit flatly conk in concert,0.527664,0.659393,0.827227
삐 삼에 에프 십칠 !,bleep three fluorine seventeen,0.490604,0.721082,0.783677
"에프, 에프 ... 씨바 어디가 에프야 ?",fluorine fluorine Ciba where is fluorine,0.602349,0.610565,0.783733
저 쪽이여 !,That agency,0.644484,0.741156,0.666640
"근데, 현서가 진짜루 하수구에 있단 말이여 ? ",By the means make up Seohyeon in truth in the toilet,0.614383,0.644239,0.753047
"아저씨, 그게 그러니까 ...  자, 이 핸드폰은 현서, 나는 괴물 ...",Mister thats why instantly this jail cell sound is seo Im a demon,0.739079,0.739079,0.723850
"아 좀 ! 하지마, 드러 !",Oh a little Dont reveal,0.542682,0.557549,0.733431
......,,1.000000,1.000000,1.000000
아니 경찰이나 어디에 얘길 좀 해보지.,No LET talk to the police or someplace,0.569657,0.648552,0.795417
그게 ... 얘길해두 당최 접수 자체가 안되는겨. 접수가 되두 또 이게 ...,Well lets scarce tattle about the receptionist itself This exist another receptionist,0.633879,0.689010,0.751910
그래두 그렇지 ...,Yes yes,0.542334,0.819681,0.834212
"어쨌건, 한강변 하수구를 싸그리 직접 뒤질껴, 빠르고 아쌀하게 ...",Anyway I span the Han dynasty Riverside sewer immediately quickly and cheaply,0.630352,0.645387,0.790751
"그래 하여튼 뭐 ... 큰 짐승이 날뛰는 동네에 들어가는 것이니께,",anyways good Im move into a town where big animal exist gush,0.617634,0.649662,0.800842
이 은혜 평생 안 잊을껴 !  ,I will never forget this thanksgiving,0.624072,0.696583,0.719001
... 근디 지금 세균문제루다 한강변에 보초를 ,But today Im become to commit a safety on the Han dynasty River,0.587056,0.663899,0.751605
... 한강이다 !,its the Han dynasty River,0.364565,0.562761,0.795134
"안 쪽은 텅텅 볏네. 일단 들어만 가면 되겠쓰, 안전한 코스루 ...",The inside exist blank I precisely need to get inside safe trend,0.669477,0.681727,0.782238
형. 꼭 가야 돼 ?,buddy Must I decease,0.679235,0.679235,0.694247
니가 아직 배가 들고프구나 ...,You exist however hungry,0.544777,0.624025,0.746519
...,,1.000000,1.000000,1.000000
이런 기회가 흔한 줄 알어 ? 빨랑 따라와 임마.,set you sleep together this opportunity comprise common seed along clotheshorse,0.492898,0.623880,0.774537
"탈출한 이들 보균자 가족 중, 특히 장남 박강두씨는 괴생물체와 직접 접촉한 ",Among the kin of those who elude specially the eldest son Mr Kang Doo common equal in lineal contact lens with the monstrosity,0.540903,0.624552,0.785243
"오 - 우, 방강두 ! 방송출연 !",Ohoh bam Gangdoo Broadcast visual aspect,0.529562,0.622693,0.832403
"아, 저거 ... 주민증 사진을 ...",Oh thats a resident ID scene,0.702839,0.745655,0.769503
저희를 이렇게 막 ! 힘으루다 밀치면서  빠져나갔는데 ...,just now like us I press out and essay to scat,0.546583,0.691121,0.821855
저런 씨 - 발것이 말하는거 하구 ... 나 쟤 누군지 알어 !,Thats what Mr foundation be say I know who he exist,0.569986,0.602346,0.767685
그래. 간호사 중에 다리 굵은 애 하나 있었어.,okay One of the nanny get a thick leg,0.534484,0.688258,0.807619
썅년이 ... 음성변조하면 모를 줄 알고 ...,Shes I dont be intimate if shes interpreter regulate,0.669774,0.641087,0.732814
오빠들 ! 그만 좀 해 !,old comrade stop over it,0.544155,0.583040,0.746846
"... 현재 경찰은 전염병 예방법 위반과 공무집행방해를 적용, 이들 가족에게 긴급",presently the law apply for desecrate the infectious disease prevention method and stymie public officials urgent to their kin,0.603580,0.653484,0.745383
신궁에서 도망자로 ... 세균으로 얼룩진 금메달의 영광 ... 오늘자 스포츠지들은,From a shrine to a fugitive The nimbus of a gold decoration stained with seed today athletics magazine,0.654537,0.661987,0.736645
뭐야 이거 ? 나만 왜 기사가 안나와 ?,what be this Why equal I not catch clause,0.542791,0.591873,0.753128
오빤 별 특징이 없잖아.,You dont make any special characteristic,0.518262,0.710960,0.785211
... 쎄구 쌘게 대졸 백수 아니냐,Isnt she a college alumnus,0.587164,0.666974,0.763179
조국의 민주화에 몸바쳤구만 씹탱이들이 취직도 안시켜주고말야 ...,I commit myself to the democratization of my state but the chuckles didnt yet start a occupation,0.582029,0.605893,0.779252
... 한편 미국 CDC와 세계보건기구 WHO는 이번 보균가족 탈출사건을 언급하는,meantime the CDC of the United land and the WHO of the man Health governance remark on the evasion of the mailman kin,0.659664,0.644915,0.733126
됐다 !  가자 !,done Go,0.436243,0.706022,0.811832
씨발 ... 뭔 검문이 이따위야 ? 이럴 꺼면 왜 해 ?,screwing what sort of checkpoint equal this Why set you practice this,0.562865,0.632117,0.771918
조용히 해 임마 !,beryllium quiet clotheshorse,0.457117,0.592747,0.795062
저기 보조석에 계신분 마스크 좀 내려봐요.,If youre in the back tush over there aim down the masquerade,0.565104,0.616327,0.752975
...... !,,1.000000,1.000000,1.000000
... 박테리아 ?,bacterium,0.678960,0.724274,0.812374
... 예 ?,Yes,0.701027,0.952860,0.693569
"혹시, 상문고 17 기 아닌가 ?",Isnt it 17 Good Book in Sangmungo,0.581080,0.616442,0.784002
아 ... 아뇨 저는 대륜 ...,Ah no Im Daeryun,0.573841,0.673676,0.825440
아 이거 ! 죄송 ...  우리반에방배동박테리아라구옛날에 ...,Oh this Im sorry,0.303549,0.628419,0.924233
아 ... 네,Ah yes,0.784376,0.923725,0.692090
도대체 왜 저런데 ? 애두 아니구 ?,Why is it like that Isnt it sad,0.658200,0.666673,0.752556
